betageneId,fatherID,motherID,sex,familyNum
B6098,,,2,458
B6114,,,2,459
B6131,,,2,460
B6153,,,2,461
B6183,,,2,462
B6198,,,2,463
B6222,,,2,464
B6247,,,2,465
B6247,,,2,465
B6267,,,2,466
B6285,,,2,467
B6308,,,2,468
B6331,,,2,469
B6364,,,2,472
B6364,,,2,472
B6378,,,2,473
B6378,,,2,473
B6394,,,2,474
B6399,,,2,501
B6407,,,2,503
B6411,,,2,504
B6422,,,2,506
B6427,,,2,507
B6439,,,2,509
B6448,,,2,511
B6449,,,2,511
B6455,,,2,513
B6455,,,2,513
B6463,,,2,515
B6472,,,2,517
B6476,,,2,518
B6479,,,2,519
B6482,,,2,520
B6488,,,2,521
B6491,,,2,522
B6497,,,2,523
B6502,,,2,524
B6506,,,2,525
B6516,,,2,527
B6516,,,2,527
B6521,,,2,528
B6525,,,2,529
B6529,,,2,530
B6533,,,2,531
B6537,,,2,532
B6541,,,2,533
B6546,,,2,534
B6552,,,2,535
B6557,,,2,536
B6558,,,2,536
B6558,,,2,536
B6563,,,2,537
B6567,,,2,538
B6570,,,2,539
B6575,,,2,540
B6581,,,2,541
B6581,,,2,541
B6585,,,2,542
B6585,,,2,542
B6593,,,2,544
B6597,,,2,545
B6602,,,2,546
B6606,,,2,547
B6606,,,2,547
B6611,,,2,548
B6615,,,2,549
B6615,,,2,549
B6615,,,2,549
B6620,,,2,550
B6624,,,2,551
B6629,,,2,552
B6633,,,2,553
B6633,,,2,553
B6640,,,2,554
B6644,,,2,555
B6644,,,2,555
B6649,,,2,556
B6653,,,2,557
B6659,,,2,558
B6662,,,2,559
B6666,,,2,560
B6687,,,2,564
B6695,,,2,565
B6707,,,2,567
B6712,,,2,568
B6717,,,2,569
B6725,,,2,571
B6731,,,2,572
B6736,,,2,573
B6742,,,2,574
B6742,,,2,574
B6751,,,2,575
B6758,,,2,576
B6764,,,2,577
B6774,,,2,579
B6780,,,2,580
B6784,,,2,581
B6788,,,2,582
B6793,,,2,583
B6799,,,2,584
B6804,,,2,585
B6808,,,2,586
B6811,,,2,587
B6816,,,2,588
B6819,,,2,589
B6824,,,2,590
B6830,,,2,591
B6833,,,2,592
B6837,,,2,593
B6848,,,2,595
B6853,,,2,596
B6860,,,2,597
B6864,,,2,599
B6870,,,2,600
B6873,,,2,601
B6879,,,2,602
B6879,,,2,602
B6884,,,2,603
B6893,,,2,604
B6900,,,2,605
B6906,,,2,606
B6912,,,2,607
B6924,,,2,609
B6930,,,2,610
B6935,,,2,611
B6940,,,2,612
B6945,,,2,613
B6951,,,2,614
B6958,,,2,615
B6969,,,2,617
B6974,,,2,618
B6990,,,2,621
B6996,,,2,622
B7004,,,2,624
B7009,,,2,625
B7013,,,2,275
B7018,,,2,627
B7023,,,2,628
B7028,,,2,629
B7031,,,2,630
B7035,,,2,631
B7041,,,2,632
B7047,,,2,633
B7052,,,2,634
B7063,,,2,636
B7069,,,2,637
B7074,,,2,638
B7079,,,2,639
B7084,,,2,640
B7088,,,2,641
B7093,,,2,642
B7098,,,2,643
B7103,,,2,644
B7113,,,2,646
B7122,,,2,648
B7127,,,2,649
B7133,,,2,650
B7137,,,2,651
B7145,,,2,652
B7150,,,2,653
B7156,,,2,654
B7159,,,2,655
B7165,,,2,656
B7177,,,2,658
B7181,,,2,659
B7188,,,2,660
B7194,,,2,661
B7207,,,2,663
B7223,,,2,666
B7226,,,2,667
B7229,,,2,668
B7234,,,2,669
B7239,,,2,670
B7245,,,2,671
B7251,,,2,672
B7256,,,2,673
B7259,,,2,674
B7263,,,2,675
B7267,,,2,676
B7274,,,2,677
B7296,,,2,681
B7301,,,2,682
B7307,,,2,683
B7312,,,2,684
B7318,,,2,685
B7318,,,2,685
B7330,,,2,687
B7334,,,2,688
B7344,,,2,690
B7350,,,2,691
B7355,,,2,692
B7358,,,2,693
B7370,,,2,695
B7374,,,2,696
B7382,,,2,698
B7388,,,2,699
B7394,,,2,700
B7404,,,2,702
B7409,,,2,703
B7415,,,2,704
B7426,,,2,706
B7430,,,2,707
B7445,,,2,709
B7449,,,2,710
B7462,,,2,713
B7472,,,2,715
B7475,,,2,716
B7486,,,2,719
B7490,,,2,720
B7494,,,2,721
B7520,,,2,726
B7528,,,2,727
B7543,,,2,731
B1093,,,1,217
B66,,,1,104
B88,,,1,105
B122,,,1,109
B157,,,1,112
B211,,,1,120
B463,,,1,138
B509,,,1,142
B546,,,1,145
B566,,,1,147
B598,,,1,149
B621,,,1,152
B621,,,1,152
B673,,,1,153
B694,,,1,155
B721,,,1,201
B744,,,1,202
B766,,,1,203
B879,,,1,208
B900,,,1,209
B921,,,1,210
B1037,,,1,215
B1066,,,1,216
B1096,,,1,217
B1122,,,1,218
B1239,,,1,221
B1262,,,1,222
B1294,,,1,224
B1333,,,1,226
B1359,,,1,227
B1389,,,1,229
B1419,,,1,231
B1478,,,1,234
B1529,,,1,236
B1529,,,1,236
B1555,,,1,238
B1585,,,1,239
B1597,,,1,240
B1608,,,1,241
B1643,,,1,243
B1670,,,1,244
B1681,,,1,245
B1702,,,1,246
B1718,,,1,247
B1718,,,1,247
B1741,,,1,248
B1884,,,1,254
B1926,,,1,256
B2056,,,1,262
B2056,,,1,262
B2115,,,1,264
B2139,,,1,265
B2286,,,1,271
B2286,,,1,271
B2363,,,1,274
B2374,,,1,275
B2374,,,1,275
B2374,,,1,275
B2472,,,1,278
B2472,,,1,278
B2472,,,1,278
B2494,,,1,279
B2494,,,1,279
B2531,,,1,280
B2559,,,1,281
B2559,,,1,281
B2559,,,1,281
B2601,,,1,282
B2638,,,1,284
B2675,,,1,285
B2756,,,1,288
B2789,,,1,289
B2819,,,1,290
B2839,,,1,291
B2857,,,1,292
B2927,,,1,296
B3005,,,1,300
B3029,,,1,301
B3048,,,1,302
B3066,,,1,303
B3093,,,1,304
B3093,,,1,304
B3165,,,1,308
B3205,,,1,310
B3238,,,1,312
B3257,,,1,313
B3292,,,1,314
B3306,,,1,315
B3326,,,1,316
B3406,,,1,319
B3434,,,1,321
B3502,,,1,325
B3547,,,1,326
B3574,,,1,328
B3588,,,1,329
B3588,,,1,329
B3605,,,1,330
B3632,,,1,331
B3646,,,1,332
B3671,,,1,333
B3699,,,1,334
B3717,,,1,335
B3750,,,1,337
B3768,,,1,338
B3768,,,1,338
B3786,,,1,339
B3807,,,1,340
B3818,,,1,341
B3871,,,1,343
B3903,,,1,345
B3939,,,1,347
B3957,,,1,348
B3991,,,1,350
B4006,,,1,351
B4025,,,1,352
B4039,,,1,353
B4092,,,1,354
B4113,,,1,355
B4137,,,1,356
B4197,,,1,357
B4226,,,1,359
B4257,,,1,360
B4274,,,1,361
B4291,,,1,362
B4325,,,1,364
B4351,,,1,365
B4361,,,1,366
B4389,,,1,368
B4425,,,1,370
B4463,,,1,371
B4483,,,1,372
B4483,,,1,372
B4503,,,1,373
B4542,,,1,375
B4558,,,1,376
B4587,,,1,377
B4613,,,1,378
B4645,,,1,379
B4678,,,1,380
B4696,,,1,381
B4723,,,1,382
B4740,,,1,383
B4758,,,1,384
B4791,,,1,386
B4811,,,1,387
B4811,,,1,387
B4825,,,1,388
B4835,,,1,389
B4847,,,1,391
B4864,,,1,392
B4888,,,1,393
B4900,,,1,394
B4912,,,1,395
B4937,,,1,396
B4953,,,1,397
B4953,,,1,397
B4970,,,1,398
B5007,,,1,399
B5044,,,1,401
B5065,,,1,403
B5080,,,1,404
B5100,,,1,405
B5114,,,1,406
B5139,,,1,407
B5155,,,1,408
B5155,,,1,408
B5184,,,1,409
B5184,,,1,409
B5205,,,1,410
B5218,,,1,411
B5235,,,1,412
B5259,,,1,413
B5279,,,1,414
B5296,,,1,415
B5312,,,1,416
B5336,,,1,417
B5361,,,1,419
B5377,,,1,420
B5398,,,1,421
B5398,,,1,421
B5419,,,1,422
B5444,,,1,423
B5457,,,1,424
B5467,,,1,425
B5495,,,1,426
B5525,,,1,427
B5541,,,1,428
B5578,,,1,430
B5590,,,1,431
B5590,,,1,431
B5621,,,1,433
B5640,,,1,434
B5651,,,1,435
B5663,,,1,436
B5684,,,1,437
B5704,,,1,438
B5721,,,1,439
B5721,,,1,439
B5735,,,1,440
B5787,,,1,442
B5804,,,1,443
B5821,,,1,444
B5842,,,1,445
B5864,,,1,446
B5884,,,1,447
B5904,,,1,448
B5918,,,1,449
B5942,,,1,450
B5956,,,1,451
B5965,,,1,452
B5994,,,1,453
B6009,,,1,454
B6025,,,1,455
B6025,,,1,455
B6052,,,1,801
B6082,,,1,457
B6096,,,1,458
B6111,,,1,459
B6128,,,1,460
B6147,,,1,461
B6180,,,1,462
B6195,,,1,463
B6219,,,1,464
B6242,,,1,465
B6242,,,1,465
B6264,,,1,466
B6282,,,1,467
B6305,,,1,468
B6328,,,1,469
B6362,,,1,472
B6362,,,1,472
B6376,,,1,473
B6376,,,1,473
B6392,,,1,474
B6397,,,1,501
B6406,,,1,503
B6410,,,1,504
B6421,,,1,506
B6426,,,1,507
B6438,,,1,509
B6447,,,1,511
B6447,,,1,511
B6454,,,1,513
B6454,,,1,513
B6461,,,1,515
B6471,,,1,517
B6475,,,1,518
B6478,,,1,519
B6481,,,1,520
B6487,,,1,521
B6490,,,1,522
B6496,,,1,523
B6501,,,1,524
B6505,,,1,525
B6515,,,1,527
B6515,,,1,527
B6520,,,1,528
B6524,,,1,529
B6528,,,1,530
B6532,,,1,531
B6536,,,1,532
B6540,,,1,533
B6544,,,1,534
B6551,,,1,535
B6556,,,1,536
B6556,,,1,536
B6556,,,1,536
B6562,,,1,537
B6566,,,1,538
B6569,,,1,539
B6574,,,1,540
B6580,,,1,541
B6580,,,1,541
B6584,,,1,542
B6584,,,1,542
B6592,,,1,544
B6596,,,1,545
B6601,,,1,546
B6605,,,1,547
B6605,,,1,547
B6610,,,1,548
B6614,,,1,549
B6614,,,1,549
